t,i,x,x',x'',e(t),integral(e(t)),d(e(t))/dt
2.27,0.962834,4.99089,0.0777713,0.682183,0.00981176,0.0040139,-0.0614695
2.28,0.968041,4.99167,0.0845931,0.586102,0.00911134,0.00411202,-0.0700424
2.29,0.973466,4.99251,0.0904541,0.485622,0.00833362,0.00420313,-0.0777713
2.3,0.979052,4.99342,0.0953104,0.381764,0.00748769,0.00428647,-0.0845931
2.31,0.984739,4.99437,0.099128,0.275584,0.00658315,0.00436135,-0.0904541
2.32,0.990469,4.99536,0.101884,0.168165,0.00563005,0.00442718,-0.0953104
2.33,0.996183,4.99638,0.103565,0.0606062,0.00463877,0.00448348,-0.099128
2.34,1.00182,4.99742,0.104172,-0.045992,0.00361993,0.00452987,-0.101884
2.35,1.00734,4.99846,0.103712,-0.150536,0.00258428,0.00456607,-0.103565
2.36,1.01266,4.99949,0.102206,-0.251956,0.00154256,0.00459191,-0.104172
2.37,1.01775,5.00052,0.0996867,-0.349214,0.000505444,0.00460733,-0.103712
2.38,1.02256,5.00151,0.0961946,-0.441325,-0.000516619,0.00461239,-0.102206
2.39,1.02704,5.00248,0.0917813,-0.52736,-0.00151349,0.00460722,-0.0996867
2.4,1.03116,5.00339,0.0865077,-0.60647,-0.00247543,0.00459209,-0.0961946
2.41,1.03487,5.00426,0.080443,-0.677887,-0.00339325,0.00456733,-0.0917813
2.42,1.03814,5.00506,0.0736641,-0.740942,-0.00425832,0.0045334,-0.0865077
2.43,1.04095,5.0058,0.0662547,-0.795069,-0.00506275,0.00449082,-0.080443
2.44,1.04329,5.00646,0.058304,-0.839815,-0.00579939,0.00444019,-0.0736641
2.45,1.04512,5.00704,0.0499059,-0.874845,-0.00646194,0.0043822,-0.0662547
2.46,1.04645,5.00754,0.0411574,-0.899945,-0.00704498,0.00431758,-0.058304
2.47,1.04728,5.00796,0.032158,-0.915024,-0.00754404,0.00424713,-0.0499059
2.48,1.04759,5.00828,0.0230077,-0.920112,-0.00795561,0.00417169,-0.0411574
2.49,1.04741,5.00851,0.0138066,-0.915358,-0.00827719,0.00409213,-0.032158
2.5,1.04674,5.00865,0.00465304,-0.901027,-0.00850727,0.00400936,-0.0230077
2.51,1.0456,5.00869,-0.00435722,-0.877489,-0.00864534,0.00392429,-0.0138066
2.52,1.04401,5.00865,-0.0131321,-0.845217,-0.00869187,0.00383783,-0.00465304
2.53,1.04199,5.00852,-0.0215843,-0.804773,-0.0086483,0.00375091,0.00435722
2.54,1.03959,5.0083,-0.029632,-0.756798,-0.00851697,0.00366443,0.0131321
2.55,1.03683,5.008,-0.0372,-0.702003,-0.00830113,0.00357926,0.0215843
2.56,1.03375,5.00763,-0.04422,-0.641157,-0.00800481,0.00349625,0.029632
2.57,1.03038,5.00719,-0.0506316,-0.575071,-0.00763281,0.0034162,0.0372
2.58,1.02678,5.00668,-0.0563823,-0.50459,-0.00719061,0.00333987,0.04422
2.59,1.02297,5.00612,-0.0614282,-0.430581,-0.0066843,0.00326797,0.0506316
2.6,1.01901,5.00551,-0.065734,-0.353918,-0.00612047,0.00320112,0.0563823
2.61,1.01493,5.00485,-0.0692732,-0.275475,-0.00550619,0.00313992,0.0614282
2.62,1.01079,5.00416,-0.0720279,-0.196113,-0.00484885,0.00308486,0.065734
2.63,1.00662,5.00344,-0.0739891,-0.116673,-0.00415612,0.00303637,0.0692732
2.64,1.00247,5.0027,-0.0751558,-0.0379669,-0.00343584,0.00299481,0.0720279
2.65,0.998386,5.00194,-0.0755355,0.0392306,-0.00269595,0.00296045,0.0739891
2.66,0.994397,5.00119,-0.0751431,0.114187,-0.00194439,0.00293349,0.0751558
2.67,0.990547,5.00044,-0.0740013,0.186218,-0.00118904,0.00291405,0.0755355
2.68,0.986869,4.9997,-0.0721391,0.254692,-0.000437606,0.00290216,0.0751431
2.69,0.983398,4.99898,-0.0695922,0.319033,0.000302407,0.00289778,0.0740013
2.7,0.980163,4.99828,-0.0664018,0.378724,0.0010238,0.0029008,0.0721391
2.71,0.977192,4.99762,-0.0626146,0.433306,0.00171972,0.00291104,0.0695922
2.72,0.974508,4.99699,-0.0582815,0.482385,0.00238374,0.00292824,0.0664018
2.73,0.972132,4.99641,-0.0534577,0.525626,0.00300988,0.00295208,0.0626146
2.74,0.970082,4.99587,-0.0482014,0.562759,0.0035927,0.00298217,0.0582815
2.75,0.96837,4.99539,-0.0425738,0.593574,0.00412728,0.0030181,0.0534577
2.76,0.967007,4.99496,-0.0366381,0.617924,0.00460929,0.00305937,0.0482014
2.77,0.966,4.9946,-0.0304589,0.635721,0.00503503,0.00310547,0.0425738
2.78,0.96535,4.99429,-0.0241017,0.646937,0.00540141,0.00315582,0.0366381
2.79,0.965057,4.99405,-0.0176323,0.651604,0.005706,0.00320983,0.0304589
2.8,0.965118,4.99388,-0.0111163,0.649806,0.00594702,0.00326689,0.0241017
2.81,0.965524,4.99377,-0.00461819,0.641687,0.00612334,0.00332636,0.0176323
2.82,0.966265,4.99372,0.00179868,0.627439,0.0062345,0.0033876,0.0111163
2.83,0.967328,4.99374,0.00807307,0.607308,0.00628068,0.00344994,0.00461819
2.84,0.968695,4.99382,0.0141461,0.581587,0.0062627,0.00351275,-0.00179868
2.85,0.970347,4.99396,0.019962,0.550615,0.00618197,0.00357537,-0.00807307
2.86,0.972263,4.99416,0.0254682,0.514773,0.0060405,0.00363719,-0.0141461
2.87,0.974418,4.99441,0.0306159,0.474484,0.00584088,0.0036976,-0.019962
2.88,0.976787,4.99472,0.0353607,0.430206,0.0055862,0.00375601,-0.0254682
2.89,0.979342,4.99507,0.0396628,0.382429,0.00528004,0.00381187,-0.0306159
2.9,0.982053,4.99547,0.0434871,0.331671,0.00492644,0.00386467,-0.0353607
2.91,0.984892,4.99591,0.0468038,0.278476,0.00452981,0.00391393,-0.0396628
2.92,0.987827,4.99637,0.0495886,0.223405,0.00409494,0.00395923,-0.0434871
2.93,0.990826,4.99687,0.0518226,0.167033,0.0036269,0.00400018,-0.0468038
2.94,0.993859,4.99739,0.0534929,0.109944,0.00313101,0.00403645,-0.0495886
2.95,0.996894,4.99792,0.0545924,0.0527228,0.00261279,0.00406776,-0.0518226
2.96,0.9999,4.99847,0.0551196,-0.00404782,0.00207786,0.00409389,-0.0534929
2.97,1.00285,4.99902,0.0550791,-0.0597954,0.00153193,0.00411467,-0.0545924
2.98,1.00571,4.99957,0.0544812,-0.113963,0.000980738,0.00412999,-0.0551196
2.99,1.00845,5.00011,0.0533416,-0.166016,0.000429947,0.00413979,-0.0550791
3,1.01106,5.00065,0.0516814,-0.215447,-0.000114865,0.00414409,-0.0544812
3.01,1.0135,5.00117,0.0495269,-0.261783,-0.000648281,0.00414295,-0.0533416
3.02,1.01575,5.00166,0.0469091,-0.304588,-0.00116509,0.00413646,-0.0516814
3.03,1.01779,5.00213,0.0438632,-0.343471,-0.00166036,0.00412481,-0.0495269
3.04,1.01962,5.00257,0.0404285,-0.378089,-0.00212945,0.00410821,-0.0469091
3.05,1.0212,5.00297,0.0366476,-0.408149,-0.00256809,0.00408691,-0.0438632
3.06,1.02254,5.00334,0.0325661,-0.433414,-0.00297237,0.00406123,-0.0404285
3.07,1.02362,5.00366,0.028232,-0.453704,-0.00333885,0.00403151,-0.0366476
3.08,1.02444,5.00395,0.0236949,-0.468897,-0.00366451,0.00399812,-0.0325661
3.09,1.02498,5.00418,0.019006,-0.478928,-0.00394683,0.00396148,-0.028232
3.1,1.02527,5.00437,0.0142167,-0.483792,-0.00418378,0.00392201,-0.0236949
3.11,1.02528,5.00452,0.00937877,-0.483542,-0.00437384,0.00388017,-0.019006
3.12,1.02504,5.00461,0.00454335,-0.478287,-0.004516,0.00383643,-0.0142167
3.13,1.02455,5.00466,-0.00023952,-0.468187,-0.00460979,0.00379127,-0.00937877
3.14,1.02381,5.00465,-0.00492139,-0.453454,-0.00465523,0.00374517,-0.00454335
3.15,1.02285,5.0046,-0.00945592,-0.434345,-0.00465283,0.00369862,0.00023952
